Time	RAW:MW2	RAW:PROMIDA	RAW:PROMIDB	RAW:IAC	RAW:CT	RAW:MPH	RAW:MAP	RAW:RPM	RAW:TPS	RAW:INT	RAW:O2	RAW:MALFFLG1	RAW:MALFFLG2	RAW:MALFFLG3	RAW:MWAF1	RAW:MCU1IO	RAW:MCU2IO	RAW:VOLT	RAW:BLM	RAW:O2_CNT	RAW:ADVANCE	RAW:EGRDC	RAW:MAT	RAW:BPWMSB	RAW:BPWLSB	SENSOR:PROMID	SENSOR:IAC	SENSOR:Coolant Temp	SENSOR:SPEED	SENSOR:MAP	SENSOR:RPM	SENSOR:TPS	SENSOR:INT	SENSOR:O2	SENSOR:Battery Voltage	SENSOR:BLM	SENSOR:rich / lean counter	SENSOR:ADVANCE	SENSOR:EGRDC	SENSOR:MAT	SENSOR:BPW	MW2:Vss Pulse Occured	MW2:ESC 43B Ready for second Pwr Enrich	MW2:DRP Occured	MW2:Factory Test Mode (3.9k Ohms	MW2:Diagnostic Mode (0 Ohms)	MW2:ALDL Mode (10k Ohms)	MW2:High BAT voltage	MW2:Old basttery Flag	MWAF1:Low RPM hysteresis Flag	MWAF1:BLM Enable Flag	MWAF1:Low Battery (IAC Inhibited)	MWAF1:Quasi-Asynch transition Flag	MWAF1:Asynchronous Pulse Flag	MWAF1:1st time C/L or slow rich/lean	MWAF1:Rich Flag	MWAF1:Closed Loop Flag	MCU1IO:IAC coil A	MCU1IO:IAC coil B	MCU1IO:IAC motor on	MCU1IO:Not Used	MCU1IO:Vaccum present	MCU1IO:A/C enabled	MCU1IO:Wastegate bypass	MCU1IO:Park/Neutral	MCU2IO:A/C clutch	MCU2IO:Coolant pullup selected	MCU2IO:TCC Locked	MCU2IO:COP2	MCU2IO:Not Used	MCU2IO:Power Steering active	MCU2IO:Not Used	MCU2IO:Not Used	MALFFLG1:24  VSS (Vehicle Speed Sensor)	MALFFLG1:23  IAT / MAT low (Air Temperature)	MALFFLG1:22  TPS low (Throttle Position Sensor)	MALFFLG1:21  TPS high (Throttle Position Sensor)	MALFFLG1:15  CT low (Coolant Temperature)	MALFFLG1:14  CT high (Coolant Temperature)	MALFFLG1:13  Oxygen sensor	MALFFLG1:12  Engine not running	MALFFLG2:42  EST (Electronic Spark Timing)	MALFFLG2:41  Not Used	MALFFLG2:35  IAC	MALFFLG2:34  MAP low (Manifold Air Pressure)	MALFFLG2:33  MAP high (Manifold Air Pressure)	MALFFLG2:32  EGR (Exhaust Gas Recirculation)	MALFFLG2:31  Wastegate high MAP (overboost)	MALFFLG2:25  MAT high (Air Temperature)	MALFFLG3:55  ADU error	MALFFLG3:54  Not Used	MALFFLG3:53  High BAT voltage	MALFFLG3:52  CAL Pack missing	MALFFLG3:51  PROM error	MALFFLG3:45  O2 rich (Oxygen sensor)	MALFFLG3:44  O2 lean (Oxygen sensor)	MALFFLG3:43  Knock ESC
23.7	32	13	44	147	94	0	201	19	26	128	100	0	0	0	0	164	24	112	135	0	86	0	169	0	184	3372	147	86.9	0	84.5	475	-0.7	128	0.442	11.2	135	0	30.23	0.0	87.9	184	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.2	160	13	44	146	94	2	77	65	26	128	99	0	0	0	0	164	24	125	135	0	86	0	169	0	176	3372	146	86.9	2	38.8	1625	-0.7	128	0.438	12.5	135	0	30.23	0.0	87.9	176	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.7	160	13	44	147	93	0	82	58	26	128	99	0	0	0	0	165	24	126	135	0	86	0	169	0	186	3372	147	85.6	0	40.6	1450	-0.7	128	0.438	12.6	135	0	30.23	0.0	87.9	186	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.2	164	13	44	147	93	0	86	57	26	128	99	0	0	0	0	166	24	128	135	0	86	0	169	0	194	3372	147	85.6	0	42.1	1425	-0.7	128	0.438	12.8	135	0	30.23	0.0	87.9	194	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.6	160	13	44	144	94	0	93	52	26	128	99	0	0	0	0	167	24	129	135	0	86	0	169	0	192	3372	144	86.9	0	44.7	1300	-0.7	128	0.438	12.9	135	0	30.23	0.0	87.9	192	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.1	160	13	44	141	94	0	87	56	26	128	99	0	0	0	0	167	24	132	135	0	86	0	169	0	230	3372	141	86.9	0	42.5	1400	-0.7	128	0.438	13.2	135	0	30.23	0.0	87.9	230	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.6	164	13	44	139	94	0	112	43	26	128	99	0	0	0	0	164	24	132	135	0	86	0	169	0	220	3372	139	86.9	0	51.7	1075	-0.7	128	0.438	13.2	135	0	30.23	0.0	87.9	220	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.1	160	13	44	137	94	0	93	55	26	128	101	0	0	0	0	165	24	133	135	0	86	0	169	0	188	3372	137	86.9	0	44.7	1375	-0.7	128	0.446	13.3	135	0	30.23	0.0	87.9	188	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.5	164	13	44	134	94	0	94	52	26	128	99	0	0	0	0	166	24	136	135	0	86	0	169	0	232	3372	134	86.9	0	45.0	1300	-0.7	128	0.438	13.6	135	0	30.23	0.0	87.9	232	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37.0	160	13	44	132	94	0	102	52	26	128	99	0	0	0	0	165	24	140	135	0	86	0	169	0	156	3372	132	86.9	0	48.0	1300	-0.7	128	0.438	14.0	135	0	30.23	0.0	87.9	156	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38.5	164	13	44	129	94	0	81	59	26	128	98	0	0	0	0	167	24	140	135	0	86	0	169	0	194	3372	129	86.9	0	40.2	1475	-0.7	128	0.433	14.0	135	0	30.23	0.0	87.9	194	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39.9	164	13	44	127	94	0	91	55	26	128	97	0	0	0	0	164	24	141	135	0	86	0	169	0	180	3372	127	86.9	0	43.9	1375	-0.7	128	0.429	14.1	135	0	30.23	0.0	87.9	180	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41.4	160	13	44	124	94	0	86	57	26	128	95	0	0	0	0	165	24	140	135	0	86	0	169	0	178	3372	124	86.9	0	42.1	1425	-0.7	128	0.420	14.0	135	0	30.23	0.0	87.9	178	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42.9	164	13	44	122	94	0	89	55	26	128	93	0	0	0	0	166	24	141	135	0	86	0	169	0	174	3372	122	86.9	0	43.2	1375	-0.7	128	0.411	14.1	135	0	30.23	0.0	87.9	174	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44.3	160	13	44	120	95	0	88	57	26	128	90	0	0	0	0	164	24	141	135	0	86	0	169	0	170	3372	120	88.3	0	42.8	1425	-0.7	128	0.398	14.1	135	0	30.23	0.0	87.9	170	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45.8	164	13	44	118	95	0	87	55	26	128	88	0	0	0	0	164	24	140	135	0	86	0	169	0	176	3372	118	88.3	0	42.5	1375	-0.7	128	0.389	14.0	135	0	30.23	0.0	87.9	176	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47.3	160	13	44	110	95	0	86	56	26	128	85	0	0	0	0	167	24	141	135	0	86	0	169	0	168	3372	110	88.3	0	42.1	1400	-0.7	128	0.376	14.1	135	0	30.23	0.0	87.9	168	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48.8	160	13	44	104	95	0	85	54	26	128	82	0	0	0	0	167	24	141	135	0	86	0	169	0	182	3372	104	88.3	0	41.7	1350	-0.7	128	0.362	14.1	135	0	30.23	0.0	87.9	182	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50.2	160	13	44	96	95	0	100	46	26	128	79	0	0	0	0	165	24	141	135	0	86	0	169	0	180	3372	96	88.3	0	47.3	1150	-0.7	128	0.349	14.1	135	0	30.23	0.0	87.9	180	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51.7	160	13	44	91	95	0	88	52	26	128	78	0	0	0	0	165	24	140	135	0	86	0	169	0	162	3372	91	88.3	0	42.8	1300	-0.7	128	0.345	14.0	135	0	30.23	0.0	87.9	162	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53.2	160	13	44	82	96	0	89	47	26	128	77	0	0	0	0	165	24	141	135	0	86	0	169	0	176	3372	82	89.6	0	43.2	1175	-0.7	128	0.340	14.1	135	0	30.23	0.0	87.9	176	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54.7	160	13	44	80	96	0	104	42	26	128	76	0	0	0	0	167	24	140	135	0	86	0	169	0	180	3372	80	89.6	0	48.7	1050	-0.7	128	0.336	14.0	135	0	30.23	0.0	87.9	180	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56.1	164	13	44	80	96	0	93	46	26	128	76	0	0	0	0	166	24	139	135	0	86	0	169	0	170	3372	80	89.6	0	44.7	1150	-0.7	128	0.336	13.9	135	0	30.23	0.0	87.9	170	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57.6	164	13	44	76	97	0	86	46	26	128	79	0	0	0	0	166	24	138	135	0	86	0	169	0	162	3372	76	91.0	0	42.1	1150	-0.7	128	0.349	13.8	135	0	30.23	0.0	87.9	162	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59.1	164	13	44	73	97	0	88	42	26	128	81	0	0	0	0	167	24	140	135	0	86	0	169	0	182	3372	73	91.0	0	42.8	1050	-0.7	128	0.358	14.0	135	0	30.23	0.0	87.9	182	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60.5	160	13	44	75	97	0	103	40	26	128	76	0	0	0	0	164	24	139	135	0	86	0	169	0	148	3372	75	91.0	0	48.4	1000	-0.7	128	0.336	13.9	135	0	30.23	0.0	87.9	148	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62.0	160	13	44	73	97	0	79	47	26	128	146	0	0	0	192	166	24	138	135	1	86	0	169	0	165	3372	73	91.0	0	39.5	1175	-0.7	128	0.645	13.8	135	1	30.23	0.0	87.9	165	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63.5	164	13	44	71	98	0	99	39	26	120	104	0	0	0	160	167	24	140	135	2	86	0	169	0	157	3372	71	92.3	0	46.9	975	-0.7	120	0.460	14.0	135	2	30.23	0.0	87.9	157	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65.0	164	13	44	72	98	0	83	44	26	129	97	0	0	0	128	165	24	140	135	2	86	0	169	0	172	3372	72	92.3	0	41.0	1100	-0.7	129	0.429	14.0	135	2	30.23	0.0	87.9	172	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66.4	164	13	44	71	98	0	87	42	26	139	88	0	0	0	128	164	24	142	135	3	86	0	169	0	154	3372	71	92.3	0	42.5	1050	-0.7	139	0.389	14.2	135	3	30.23	0.0	87.9	154	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67.9	164	13	44	71	98	0	80	44	26	137	129	0	0	0	192	165	24	141	135	3	86	0	167	0	178	3372	71	92.3	0	39.9	1100	-0.7	137	0.570	14.1	135	3	30.23	0.0	89.4	178	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69.4	160	13	44	70	99	0	100	38	26	129	103	0	0	0	224	167	24	140	135	5	86	0	166	0	138	3372	70	93.7	0	47.3	950	-0.7	129	0.455	14.0	135	5	30.23	0.0	90.1	138	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.8	160	13	44	68	99	0	78	39	26	123	129	0	0	0	192	165	24	138	135	5	86	0	165	0	201	3372	68	93.7	0	39.1	975	-0.7	123	0.570	13.8	135	5	30.23	0.0	90.9	201	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72.3	160	13	44	79	99	0	84	51	26	118	179	0	0	0	192	166	24	141	135	7	86	0	162	0	137	3372	79	93.7	0	41.4	1275	-0.7	118	0.791	14.1	135	7	30.23	0.0	93.2	137	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73.8	160	13	44	73	99	0	112	27	26	109	111	0	0	0	160	166	24	141	135	8	86	0	161	0	206	3372	73	93.7	0	51.7	675	-0.7	109	0.491	14.1	135	8	30.23	0.0	93.9	206	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75.3	160	13	44	86	99	0	79	57	26	110	184	0	0	0	192	164	24	141	135	9	86	0	163	0	134	3372	86	93.7	0	39.5	1425	-0.7	110	0.813	14.1	135	9	30.23	0.0	92.4	134	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76.7	160	13	44	79	100	0	96	33	26	99	108	0	0	0	160	164	24	137	135	10	86	0	163	0	246	3372	79	95.0	0	45.8	825	-0.7	99	0.477	13.7	135	10	30.23	0.0	92.4	246	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78.2	164	13	44	94	100	0	101	53	26	103	157	0	0	0	224	167	24	141	135	11	86	0	163	0	122	3372	94	95.0	0	47.6	1325	-0.7	103	0.694	14.1	135	11	30.23	0.0	92.4	122	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79.7	160	13	44	84	101	0	95	35	26	93	111	0	0	0	160	165	24	139	135	12	83	0	163	1	241	3372	84	96.3	0	45.4	875	-0.7	93	0.491	13.9	135	12	29.18	0.0	92.4	497	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81.2	160	13	44	122	101	0	68	70	26	92	191	0	0	0	192	165	24	141	135	13	86	0	164	0	162	3372	122	96.3	0	35.4	1750	-0.7	92	0.844	14.1	135	13	30.23	0.0	91.6	162	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82.6	160	13	44	120	101	0	184	17	26	128	96	0	0	0	160	166	24	141	135	14	86	0	164	0	153	3372	120	96.3	0	78.3	425	-0.7	128	0.424	14.1	135	14	30.23	0.0	91.6	153	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
